timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
100076369,-0.0005599517,0.00062562333,-0.005685008,0.0
100277056,0.00023862207,0.0017154026,-0.012289093,0.0
100477077,-0.0006577301,0.0037345886,-0.01161635,0.0
100676447,-0.0017564489,0.00313853,-0.007716434,0.0
100875911,-0.0005831666,0.0020780761,-0.0047773244,0.0
101076410,0.0013615477,0.00252134,-0.0028710237,0.0
101275761,0.00045532561,-0.002400585,-0.0024022758,0.0
101476896,-0.00041704375,-0.00065483246,-0.0028723306,0.0
101675974,-0.0007692659,-0.0017512698,-0.0032893638,0.0
101876605,5.57976e-05,-0.0001165323,-0.00316622,0.0
102076459,9.1632784e-05,-0.000331768,-0.0029029143,0.0
102276453,-0.0010962134,-0.000207543,-0.0025405483,0.0
102476464,-0.0006054656,-0.00012823055,-0.002517252,0.0
102675906,0.0007205834,0.00071596727,-0.002026927,0.0
102876479,-0.00094726344,-0.00035809138,-0.0014435754,0.0
103076353,0.00028389838,-0.00052552397,-0.0012872694,0.0
103276401,0.00033269386,-0.00017738767,-0.0010379459,0.0
103475924,0.00020536447,-0.0006387078,-0.0010576854,0.0
103676348,0.00013331813,-0.00017727065,-0.00091343257,0.0
103875951,0.0006794398,-0.000579798,-0.0006818111,0.0
104076393,0.0006495721,0.00011869403,-0.00060262997,0.0
104276054,-0.00034006825,-0.0004848518,-0.00079144957,0.0
104476343,-4.4096232e-05,0.00017834679,-0.00060239603,0.0
104676553,0.0002636994,0.00038037516,-0.0005955164,0.0
104876705,0.000501727,0.00020919582,-0.0003624619,0.0
105076562,0.000108470595,-0.00055379677,-0.00038950026,0.0
105276463,0.0002381283,0.0006617879,-9.7300486e-05,0.0
105475911,0.00010397653,-0.00054363004,-0.00042005006,0.0
105676259,-0.0030567264,0.0039859833,9.924007e-05,0.0
105876393,-0.029463653,0.029245248,0.0030942282,0.0
106076657,-0.047448393,0.047237087,0.010759551,0.0
106276435,-0.06102891,0.060593404,0.019028986,0.0
106476020,-0.070499435,0.0707927,0.026415655,0.0
106676634,-0.07784768,0.07721653,0.031769652,0.0
106876518,-0.08206463,0.08309966,0.035566192,0.0
107076372,-0.085648045,0.0866502,0.03833655,0.0
107276417,-0.08903171,0.08899328,0.04087942,0.0
107476657,-0.090968035,0.09135292,0.043247577,0.0
107676665,-0.093037575,0.09389592,0.045565147,0.0
107875940,-0.09506259,0.09474844,0.047781345,0.0
108076816,-0.096880704,0.0969624,0.05012899,0.0
108276686,-0.09696798,0.09676685,0.052104574,0.0
108476855,-0.0980416,0.097632356,0.054048967,0.0
108676590,-0.098426566,0.098072976,0.055922695,0.0
108872775,-0.09831345,0.0995143,0.057281304,0.0
109076138,-0.09900761,0.099040896,0.05835726,0.0
109276609,-0.09873298,0.098949604,0.05945565,0.0
109476627,-0.09894098,0.09852666,0.06044413,0.0
109676438,-0.09914358,0.09916824,0.061301403,0.0
109876316,-0.09922714,0.09992113,0.06180832,0.0
110076752,-0.09892086,0.09862935,0.0628509,0.0
110276956,-0.099618204,0.099002786,0.06367974,0.0
110476429,-0.09921201,0.099072166,0.06416838,0.0
110676304,-0.09961184,0.099362485,0.064902276,0.0
110876221,-0.09995813,0.099719524,0.06560569,0.0
111076912,-0.099160045,0.099738166,0.066483624,0.0
111276797,-0.099898316,0.09959583,0.06649197,0.0
111476972,-0.09989799,0.09983694,0.0665626,0.0
111676339,-0.09982146,0.09991744,0.06676738,0.0
111876086,-0.10002888,0.09930504,0.06683611,0.0
112077016,-0.09916259,0.09933644,0.06722133,0.0
112276971,-0.099229805,0.09913543,0.06782344,0.0
112473126,-0.09936372,0.09962166,0.06807961,0.0
112673318,-0.099908546,0.09895005,0.06844336,0.0
112877040,-0.099803194,0.09930293,0.068425655,0.0
113076720,-0.10012257,0.09935796,0.068495594,0.0
113276874,-0.09987325,0.099062935,0.06836194,0.0
113477092,-0.09954338,0.0989547,0.06836927,0.0
113676293,-0.09908148,0.09927893,0.06873184,0.0
113876760,-0.099133246,0.09862219,0.06892854,0.0
114076065,-0.09890646,0.09873216,0.06951386,0.0
114276469,-0.09974612,0.09884333,0.06967159,0.0
114476507,-0.09842986,0.09881775,0.06959063,0.0
114676194,-0.098720714,0.09853339,0.06940585,0.0
114876937,-0.0984244,0.098853864,0.069206424,0.0
